participant,condition,char,RT
AMS_04142025,D_fast,T,269
AMS_04142025,ND_fast,T,403
APM_04072025,D_fast,T,410
APM_04072025,ND_fast,T,464
ARI_04162025,D_fast,T,407
ARI_04162025,ND_fast,T,564
CJG_03242025,D_fast,T,307
CJG_03242025,ND_fast,T,1034
CKM_04162025,D_fast,T,395
CKM_04162025,ND_fast,T,556
CLE_03272025,D_fast,T,338
CLE_03272025,ND_fast,T,529
EBZ_04182025,D_fast,T,391
EBZ_04182025,ND_fast,T,433
ESU_04182025,D_fast,T,330
ESU_04182025,ND_fast,T,499
JBO_04172025,D_fast,T,341
JBO_04172025,ND_fast,T,583
JCN_04192025,D_fast,T,292
JCN_04192025,ND_fast,T,518
JMY_03312025,D_fast,T,272
JMY_03312025,ND_fast,T,579
JPK_04182025,D_fast,T,292
JPK_04182025,ND_fast,T,499
JWG_03272025,D_fast,T,395
JWG_03272025,ND_fast,T,591
JXI_04182025,D_fast,T,338
JXI_04182025,ND_fast,T,472
KCA_04072025,D_fast,T,334
KCA_04072025,ND_fast,T,495
KHT_04072025,D_fast,T,368
KHT_04072025,ND_fast,T,729
KSN_04042025,D_fast,T,330
KSN_04042025,ND_fast,T,556
MAO_04192025,D_fast,T,867
MAO_04192025,ND_fast,T,514
MHE_04032025,D_fast,T,368
MHE_04032025,ND_fast,T,660
MSN_04092025,D_fast,T,414
MSN_04092025,ND_fast,T,702
NMS_04112025,D_fast,T,361
NMS_04112025,ND_fast,T,468
OMY_04202025,D_fast,T,380
OMY_04202025,ND_fast,T,702
TCO_03272025,D_fast,T,368
TCO_03272025,ND_fast,T,522
YWG_03262025,D_fast,T,242
YWG_03262025,ND_fast,T,683
AMS_04142025,D_fast,X,272
AMS_04142025,ND_fast,X,479
APM_04072025,D_fast,X,395
APM_04072025,ND_fast,X,606
ARI_04162025,D_fast,X,357
ARI_04162025,ND_fast,X,522
CJG_03242025,D_fast,X,372
CJG_03242025,ND_fast,X,499
CKM_04162025,D_fast,X,476
CKM_04162025,ND_fast,X,552
CLE_03272025,D_fast,X,338
CLE_03272025,ND_fast,X,552
EBZ_04182025,D_fast,X,422
EBZ_04182025,ND_fast,X,506
ESU_04182025,D_fast,X,299
